city,region,category_focus,temperature_f,precipitation_in,staffing_recommendation
San Jose,West,Electronics,77.2,0,Standard Staffing
San Jose,West,Electronics,58.2,0,Standard Staffing
San Jose,West,Electronics,55.7,0,Standard Staffing
San Jose,West,Electronics,55.7,0,Standard Staffing
San Jose,West,Electronics,66,0,Standard Staffing
San Jose,West,Electronics,77.9,0,Standard Staffing
San Jose,West,Electronics,78.7,0,Standard Staffing
San Jose,West,Electronics,55.6,0.1,Standard Staffing
San Jose,West,Electronics,66.9,0,Standard Staffing
San Jose,West,Electronics,72,0,Standard Staffing
San Jose,West,Electronics,85,1,Increase Staff
San Jose,West,Electronics,56.2,0,Standard Staffing
San Jose,West,Electronics,82.5,1,Increase Staff
San Jose,West,Electronics,67.2,0,Standard Staffing
San Jose,West,Electronics,69.8,0.5,Increase Staff
San Jose,West,Electronics,65.9,0.1,Standard Staffing
San Jose,West,Electronics,73.3,0.2,Increase Staff
San Jose,West,Electronics,56.7,0.1,Standard Staffing
San Jose,West,Electronics,61.9,0.2,Increase Staff
San Jose,West,Electronics,61.5,0.5,Increase Staff
San Jose,West,Electronics,76.2,0,Standard Staffing
San Jose,West,Electronics,61.9,0,Standard Staffing
San Jose,West,Electronics,56.5,1,Increase Staff
Los Angeles,West,Apparel,76.9,0,Standard Staffing
Los Angeles,West,Apparel,59.6,0,Standard Staffing
Los Angeles,West,Apparel,58.7,0,Standard Staffing
Los Angeles,West,Apparel,62.4,0,Standard Staffing
Los Angeles,West,Apparel,67.5,0,Standard Staffing
Los Angeles,West,Apparel,82.1,0,Standard Staffing
Los Angeles,West,Apparel,81.7,0,Standard Staffing
Los Angeles,West,Apparel,58.1,0,Standard Staffing
Los Angeles,West,Apparel,66.9,0.1,Standard Staffing
Los Angeles,West,Apparel,61.7,0.5,Increase Staff
Los Angeles,West,Apparel,70.7,0.1,Standard Staffing
Los Angeles,West,Apparel,82.9,0,Standard Staffing
Los Angeles,West,Apparel,68.2,0.1,Standard Staffing
Los Angeles,West,Apparel,82.3,0,Standard Staffing
Los Angeles,West,Apparel,80.8,0,Standard Staffing
Los Angeles,West,Apparel,63.3,0,Standard Staffing
Los Angeles,West,Apparel,62.6,0,Standard Staffing
Los Angeles,West,Apparel,82.9,0,Standard Staffing
Los Angeles,West,Apparel,57.6,0,Standard Staffing
Los Angeles,West,Apparel,67.4,1,Increase Staff
Los Angeles,West,Apparel,59.2,0.2,Increase Staff
Los Angeles,West,Apparel,83.3,0,Standard Staffing
Los Angeles,West,Apparel,79.7,0,Standard Staffing
Seattle,West,Outdoor Gear,63.5,0,Standard Staffing
Seattle,West,Outdoor Gear,59.1,0,Standard Staffing
Seattle,West,Outdoor Gear,56.1,0,Standard Staffing
Seattle,West,Outdoor Gear,58.9,0,Standard Staffing
Seattle,West,Outdoor Gear,58.5,0,Standard Staffing
Seattle,West,Outdoor Gear,64.7,0,Standard Staffing
Seattle,West,Outdoor Gear,67.8,0,Standard Staffing
Seattle,West,Outdoor Gear,84.6,0.2,Increase Staff
Seattle,West,Outdoor Gear,72,0,Standard Staffing
Seattle,West,Outdoor Gear,56.3,0,Standard Staffing
Seattle,West,Outdoor Gear,65.3,0.1,Standard Staffing
Seattle,West,Outdoor Gear,58.3,0,Standard Staffing
Seattle,West,Outdoor Gear,63.4,0.5,Increase Staff
Seattle,West,Outdoor Gear,79.2,0.1,Standard Staffing
Seattle,West,Outdoor Gear,56.9,0,Standard Staffing
Seattle,West,Outdoor Gear,80.1,0,Standard Staffing
Seattle,West,Outdoor Gear,73.2,0,Standard Staffing
Seattle,West,Outdoor Gear,63.8,0.5,Increase Staff
Seattle,West,Outdoor Gear,73.9,0,Standard Staffing
Seattle,West,Outdoor Gear,81.3,0.1,Standard Staffing
Seattle,West,Outdoor Gear,58.8,0,Standard Staffing
Seattle,West,Outdoor Gear,58.7,0,Standard Staffing
Seattle,West,Outdoor Gear,69,0,Standard Staffing
Denver,Mountain,Outdoor Gear,90.6,0,Increase Staff
Denver,Mountain,Outdoor Gear,68.9,0,Standard Staffing
Denver,Mountain,Outdoor Gear,61.7,0,Standard Staffing
Denver,Mountain,Outdoor Gear,68,0,Standard Staffing
Denver,Mountain,Outdoor Gear,80.6,0,Standard Staffing
Denver,Mountain,Outdoor Gear,90.3,0,Increase Staff
Denver,Mountain,Outdoor Gear,91.4,0,Increase Staff
Denver,Mountain,Outdoor Gear,73.2,0,Standard Staffing
Denver,Mountain,Outdoor Gear,76.4,1,Increase Staff
Denver,Mountain,Outdoor Gear,70.7,0,Standard Staffing
Denver,Mountain,Outdoor Gear,77.1,0,Standard Staffing
Denver,Mountain,Outdoor Gear,89.1,0,Standard Staffing
Denver,Mountain,Outdoor Gear,71.4,0.5,Increase Staff
Denver,Mountain,Outdoor Gear,78.4,0,Standard Staffing
Denver,Mountain,Outdoor Gear,64.8,0,Standard Staffing
Denver,Mountain,Outdoor Gear,80.1,0.1,Standard Staffing
Denver,Mountain,Outdoor Gear,75.7,1,Increase Staff
Denver,Mountain,Outdoor Gear,75.3,0.5,Increase Staff
Denver,Mountain,Outdoor Gear,76.7,0,Standard Staffing
Denver,Mountain,Outdoor Gear,86.5,0,Standard Staffing
Denver,Mountain,Outdoor Gear,84.8,0,Standard Staffing
Denver,Mountain,Outdoor Gear,84.1,0.1,Standard Staffing
Denver,Mountain,Outdoor Gear,66.1,0.2,Increase Staff
Phoenix,Mountain,Home & Garden,101.7,0,Increase Staff
Phoenix,Mountain,Home & Garden,81.2,0,Standard Staffing
Phoenix,Mountain,Home & Garden,76.8,0,Standard Staffing
Phoenix,Mountain,Home & Garden,79.8,0,Standard Staffing
Phoenix,Mountain,Home & Garden,94.6,0,Increase Staff
Phoenix,Mountain,Home & Garden,102.8,0,Increase Staff
Phoenix,Mountain,Home & Garden,105.8,0,Increase Staff
